2024-04-02 21:26:00,286 INFO    MainThread:1437 [wandb_init.py:_resume_backend():442] resuming backend
2024-04-02 21:26:00,493 INFO    MainThread:1437 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-02 21:26:00,493 INFO    MainThread:1437 [wandb_init.py:_pause_backend():437] pausing backend
2024-04-02 21:26:00,500 INFO    MainThread:1437 [wandb_init.py:_resume_backend():442] resuming backend
2024-04-02 21:26:01,282 INFO    MainThread:1437 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-02 21:26:01,282 INFO    MainThread:1437 [wandb_init.py:_pause_backend():437] pausing backend
2024-04-02 21:26:01,291 INFO    MainThread:1437 [wandb_init.py:_resume_backend():442] resuming backend
2024-04-02 21:26:01,293 INFO    MainThread:1437 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-02 21:26:01,293 INFO    MainThread:1437 [wandb_init.py:_pause_backend():437] pausing backend
2024-04-02 21:26:01,301 INFO    MainThread:1437 [wandb_init.py:_resume_backend():442] resuming backend
2024-04-02 21:26:01,316 INFO    MainThread:1437 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-02 21:26:01,316 INFO    MainThread:1437 [wandb_init.py:_pause_backend():437] pausing backend
2024-04-02 21:26:01,323 INFO    MainThread:1437 [wandb_init.py:_resume_backend():442] resuming backend
2024-04-02 21:26:01,935 INFO    MainThread:1437 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-02 21:26:01,936 INFO    MainThread:1437 [wandb_init.py:_pause_backend():437] pausing backend
2024-04-02 21:26:23,187 INFO    MainThread:1437 [wandb_init.py:_resume_backend():442] resuming backend
2024-04-02 21:26:23,188 INFO    MainThread:1437 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-02 21:26:23,188 INFO    MainThread:1437 [wandb_init.py:_pause_backend():437] pausing backend
2024-04-02 21:26:23,195 INFO    MainThread:1437 [wandb_init.py:_resume_backend():442] resuming backend
2024-04-02 21:26:23,320 INFO    MainThread:1437 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-02 21:26:23,320 INFO    MainThread:1437 [wandb_init.py:_pause_backend():437] pausing backend
2024-04-02 21:26:23,326 INFO    MainThread:1437 [wandb_init.py:_resume_backend():442] resuming backend
2024-04-02 21:26:23,327 INFO    MainThread:1437 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-02 21:26:23,327 INFO    MainThread:1437 [wandb_init.py:_pause_backend():437] pausing backend
2024-04-02 21:26:23,333 INFO    MainThread:1437 [wandb_init.py:_resume_backend():442] resuming backend
